gene_id	condition	log2fold_change	p_value	p_value_corrected	base_mean
54549	Experimental	2.331183873061394	1.7506863034903292e-06	0.00033626840920114733	0.6999999999999998
7239	Experimental	2.331183873061394	1.7506863034903292e-06	0.00033626840920114733	0.6999999999999998
105379564	Experimental	2.331183873061394	1.7506863034903292e-06	0.00033626840920114733	0.6999999999999998
25859	Experimental	2.331183873061394	1.7506863034903292e-06	0.00033626840920114733	0.6999999999999998
728339	Experimental	2.331183873061394	1.7506863034903292e-06	0.00033626840920114733	0.6999999999999998
79949	Experimental	2.331183873061394	1.7506863034903292e-06	0.00033626840920114733	0.6999999999999998
101928495	Experimental	2.331183873061394	1.7506863034903292e-06	0.00033626840920114733	0.6999999999999998
693138	Experimental	2.331183873061394	1.7506863034903292e-06	0.00033626840920114733	0.6999999999999998
406902	Experimental	2.331183873061394	1.7506863034903292e-06	0.00033626840920114733	0.6999999999999998
202134	Experimental	2.331183873061394	1.7506863034903292e-06	0.00033626840920114733	0.6999999999999998
2194	Experimental	-0.6506812147183705	8.694248847728498e-07	0.00033626840920114733	13090.66666666667
112267955	Experimental	2.331183873061394	1.7506863034903292e-06	0.00033626840920114733	0.6999999999999998
100507674	Experimental	2.331183873061394	1.7506863034903292e-06	0.00033626840920114733	0.6999999999999998
246754	Experimental	2.331183873061394	1.7506863034903292e-06	0.00033626840920114733	0.6999999999999998
10930	Experimental	2.331183873061394	1.7506863034903292e-06	0.00033626840920114733	0.6999999999999998
100847035	Experimental	2.331183873061394	1.7506863034903292e-06	0.00033626840920114733	0.6999999999999998
3178	Experimental	-0.6571188479093364	1.129668078588747e-06	0.00033626840920114733	12620.000000000002
102465449	Experimental	2.331183873061394	1.7506863034903292e-06	0.00033626840920114733	0.6999999999999998
107985193	Experimental	2.331183873061394	1.7506863034903292e-06	0.00033626840920114733	0.6999999999999998
728989	Experimental	2.331183873061394	1.7506863034903292e-06	0.00033626840920114733	0.6999999999999998
107984701	Experimental	2.331183873061394	1.7506863034903292e-06	0.00033626840920114733	0.6999999999999998
378707	Experimental	2.331183873061394	1.7506863034903292e-06	0.00033626840920114733	0.6999999999999998
100847020	Experimental	2.331183873061394	1.7506863034903292e-06	0.00033626840920114733	0.6999999999999998
153328	Experimental	2.331183873061394	1.7506863034903292e-06	0.00033626840920114733	0.6999999999999998
8332	Experimental	2.331183873061394	1.7506863034903292e-06	0.00033626840920114733	0.6999999999999998
346171	Experimental	2.331183873061394	1.7506863034903292e-06	0.00033626840920114733	0.6999999999999998
284119	Experimental	-0.6616552810660818	1.8021865732033436e-06	0.0003444800898371595	12264.333333333334
857	Experimental	-0.6876604463592645	2.4079121839655283e-06	0.0004580384065498872	11636.0
6431	Experimental	-1.9228225631167726	3.6664928448713083e-06	0.0006907742691849408	4035.333333333334
7531	Experimental	-0.5152108706977058	3.6501839533918547e-06	0.0006907742691849408	15393.000000000002
3182	Experimental	-0.896075848253879	4.142261746059079e-06	0.000776693802442011	8612.000000000002
2512	Experimental	1.1285246003483156	4.588223939966628e-06	0.0008562365206641041	8687.666666666668
107987071	Experimental	0.43007179372586263	2.7738082368720966e-05	0.001070565497074531	1.3666666666666671
83873	Experimental	0.9656710600171095	1.2422162132118577e-05	0.001070565497074531	1.066666666666667
84141	Experimental	1.5253754680374267	2.5661054479210192e-05	0.001070565497074531	2.0333333333333337
117531	Experimental	0.5702810970999627	2.4454542846510314e-05	0.001070565497074531	1.3333333333333333
105372863	Experimental	1.5253754680374263	2.56610544792102e-05	0.001070565497074531	2.0333333333333337
107987107	Experimental	0.5702810970999622	2.445454284651032e-05	0.001070565497074531	1.3333333333333337
112268420	Experimental	0.9656710600171095	1.2422162132118577e-05	0.001070565497074531	1.066666666666667
100124534	Experimental	0.5307462920677907	1.5285248594850312e-05	0.001070565497074531	1.0333333333333334
105376063	Experimental	1.0737556839234075	2.640818060414312e-05	0.001070565497074531	1.7000000000000004
105370886	Experimental	0.8957979495603211	2.862925305819487e-05	0.001070565497074531	1.6666666666666667
387264	Experimental	2.3860615595020485	2.4304903750975227e-05	0.001070565497074531	3.0333333333333337
93082	Experimental	2.588203445430318	2.3990406999247017e-05	0.001070565497074531	3.366666666666667
102725072	Experimental	0.43007179372586263	2.7738082368720966e-05	0.001070565497074531	1.3666666666666671
100189264	Experimental	0.5307462920677907	1.5285248594850312e-05	0.001070565497074531	1.0333333333333334
107985561	Experimental	1.6675751636508083	1.1562216699022013e-05	0.001070565497074531	1.4000000000000004
158399	Experimental	2.7757443731631213	1.0630609485346017e-05	0.001070565497074531	2.4000000000000004
290	Experimental	1.6675751636508083	1.1562216699022013e-05	0.001070565497074531	1.4000000000000004
79400	Experimental	0.0199085786747635	1.983409196053043e-05	0.001070565497074531	1.0333333333333337
100129726	Experimental	0.43007179372586263	2.7738082368720966e-05	0.001070565497074531	1.3666666666666671
100130717	Experimental	0.43007179372586263	2.7738082368720966e-05	0.001070565497074531	1.3666666666666671
105376035	Experimental	0.4300717937258624	2.7738082368720966e-05	0.001070565497074531	1.3666666666666671
107985875	Experimental	0.0199085786747635	1.983409196053043e-05	0.001070565497074531	1.0333333333333337
286297	Experimental	0.53074629206779	1.528524859485032e-05	0.001070565497074531	1.0333333333333334
338651	Experimental	1.0737556839234075	2.640818060414312e-05	0.001070565497074531	1.7000000000000004
123346	Experimental	0.019908578674763817	1.9834091960530425e-05	0.001070565497074531	1.0333333333333334
286749	Experimental	1.0737556839234075	2.640818060414312e-05	0.001070565497074531	1.7000000000000004
